"Perioden";"Regio's";"Totaal levendgeborenen";"Bruto geboortecijfer";"Levendgeboren jongens";"Levendgeboren meisjes";"Algemeen vruchtbaarheidscijfer";"Gestandaardiseerd vruchtbaarheidscijfer";"Gemiddeld kindertal per vrouw";"Totaal levendgeborenen";"Jonger dan 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 jaar of ouder";"Totaal levendgeborenen";"1e kind";"2e kind";"3e kind";"4e of volgende kinderen";"Totaal levendgeborenen";"Moeder gehuwd";"Moeder niet-gehuwd";"Gemeente";"Landsdeel";"Provincie";"COROP-gebied";"Stadsgewest";"Grootstedelijke agglomeratie"
"1994";"Nederland";"195611";"12.7";"100261";"95350";"48.6";"48.6";"1.57";"195611";"2288";"20548";"65633";"76774";"26532";"3621";"215";"195611";"86999";"69798";"26652";"12162";"195611";"167712";"27899";"";"";"";"";"";""
"1994";"Noord-Nederland (LD)";"19178";"11.8";"9845";"9333";"46.6";"48.4";"1.56";"19178";"157";"1888";"6988";"7279";"2551";"295";"20";"19178";"8218";"6859";"2879";"1222";"19178";"16559";"2619";"";"01";"";"";"";""
"1994";"Oost-Nederland (LD)";"41853";"13.2";"21456";"20397";"50.9";"51.9";"1.67";"41853";"441";"4252";"14203";"16617";"5578";"727";"35";"41853";"17722";"14979";"6109";"3043";"41853";"37280";"4573";"";"02";"";"";"";""
"1994";"West-Nederland (LD)";"92795";"12.9";"47633";"45162";"48.7";"47.7";"1.55";"92795";"1270";"10842";"29983";"35058";"13394";"2116";"132";"92795";"42031";"32498";"12206";"6060";"92795";"76679";"16116";"";"03";"";"";"";""
"1994";"Zuid-Nederland (LD)";"41785";"12.3";"21327";"20458";"47.3";"47.8";"1.54";"41785";"420";"3566";"14459";"17820";"5009";"483";"28";"41785";"19028";"15462";"5458";"1837";"41785";"37194";"4591";"";"04";"";"";"";""
"1994";"Groningen (PV)";"6455";"11.6";"3300";"3155";"43.8";"44.3";"1.44";"6455";"65";"699";"2263";"2413";"889";"120";"6";"6455";"2907";"2303";"872";"373";"6455";"5326";"1129";"";"01";"20";"";"";""
"1994";"Friesland (PV)";"7467";"12.3";"3882";"3585";"49.2";"51.7";"1.67";"7467";"51";"744";"2784";"2795";"964";"119";"10";"7467";"3027";"2625";"1253";"562";"7467";"6486";"981";"";"01";"21";"";"";""
"1994";"Drenthe (PV)";"5256";"11.6";"2663";"2593";"46.7";"49.3";"1.59";"5256";"41";"445";"1941";"2071";"698";"56";"4";"5256";"2284";"1931";"754";"287";"5256";"4747";"509";"";"01";"22";"";"";""
"1994";"Overijssel (PV)";"13853";"13.2";"7027";"6826";"52.0";"53.1";"1.71";"13853";"165";"1383";"4882";"5450";"1750";"210";"13";"13853";"5762";"4950";"2165";"976";"13853";"12530";"1323";"";"02";"23";"";"";""
"1994";"Flevoland (PV)";"4208";"16.3";"2177";"2031";"59.5";"58.1";"1.93";"4208";"40";"547";"1420";"1540";"572";"88";"1";"4208";"1698";"1524";"628";"358";"4208";"3654";"554";"";"02";"24";"";"";""
"1994";"Gelderland (PV)";"23792";"12.8";"12252";"11540";"49.0";"50.2";"1.62";"23792";"236";"2322";"7901";"9627";"3256";"429";"21";"23792";"10262";"8505";"3316";"1709";"23792";"21096";"2696";"";"02";"25";"";"";""
"1994";"Utrecht (PV)";"14141";"13.3";"7156";"6985";"48.5";"47.3";"1.53";"14141";"153";"1314";"4393";"5641";"2279";"341";"20";"14141";"6305";"4970";"1924";"942";"14141";"12204";"1937";"";"03";"26";"";"";""
"1994";"Noord-Holland (PV)";"31541";"12.8";"16256";"15285";"47.8";"46.0";"1.50";"31541";"434";"3351";"9469";"12363";"5034";"836";"54";"31541";"14885";"10964";"3958";"1734";"31541";"24699";"6842";"";"03";"27";"";"";""
"1994";"Zuid-Holland (PV)";"42598";"12.8";"21918";"20680";"49.3";"48.6";"1.58";"42598";"641";"5571";"14356";"15543";"5593";"842";"52";"42598";"18952";"15015";"5689";"2942";"42598";"35755";"6843";"";"03";"28";"";"";""
"1994";"Zeeland (PV)";"4515";"12.4";"2303";"2212";"50.7";"53.7";"1.74";"4515";"42";"606";"1765";"1511";"488";"97";"6";"4515";"1889";"1549";"635";"442";"4515";"4021";"494";"";"03";"29";"";"";""
"1994";"Noord-Brabant (PV)";"29085";"12.8";"14838";"14247";"48.9";"49.4";"1.59";"29085";"282";"2416";"10236";"12378";"3411";"343";"19";"29085";"13090";"10660";"3983";"1352";"29085";"25905";"3180";"";"04";"30";"";"";""
"1994";"Limburg (PV)";"12700";"11.3";"6489";"6211";"44.0";"44.6";"1.44";"12700";"138";"1150";"4223";"5442";"1598";"140";"9";"12700";"5938";"4802";"1475";"485";"12700";"11289";"1411";"";"04";"31";"";"";""
"1994";"Oost-Groningen (CR)";"1727";"11.4";"864";"863";"47.0";"49.9";"1.61";"1727";"16";"212";"675";"619";"192";"12";"1";"1727";"780";"622";"236";"89";"1727";"1477";"250";"";"01";"20";"01";"";""
"1994";"Delfzijl en omgeving (CR)";"625";"11.5";"322";"303";"47.1";"49.5";"1.60";"625";"8";"77";"199";"249";"77";"15";"-";"625";"262";"229";"97";"37";"625";"534";"91";"";"01";"20";"02";"";""
"1994";"Overig Groningen (CR)";"4103";"11.7";"2114";"1989";"42.2";"41.7";"1.37";"4103";"41";"410";"1389";"1545";"620";"93";"5";"4103";"1865";"1452";"539";"247";"4103";"3315";"788";"";"01";"20";"03";"";""
"1994";"Noord-Friesland (CR)";"3908";"12.3";"2053";"1855";"48.3";"50.5";"1.63";"3908";"29";"406";"1460";"1443";"507";"59";"4";"3908";"1602";"1360";"660";"286";"3908";"3348";"560";"";"01";"21";"04";"";""
"1994";"Zuidwest-Friesland (CR)";"1215";"12.5";"619";"596";"51.3";"54.3";"1.75";"1215";"5";"123";"464";"449";"157";"17";"-";"1215";"497";"415";"200";"103";"1215";"1075";"140";"";"01";"21";"05";"";""
"1994";"Zuidoost-Friesland (CR)";"2344";"12.2";"1210";"1134";"49.6";"52.5";"1.69";"2344";"17";"215";"860";"903";"300";"43";"6";"2344";"928";"850";"393";"173";"2344";"2063";"281";"";"01";"21";"06";"";""
"1994";"Noord-Drenthe (CR)";"1879";"11.6";"966";"913";"46.4";"49.4";"1.59";"1879";"15";"136";"615";"783";"305";"25";"-";"1879";"801";"745";"231";"102";"1879";"1673";"206";"";"01";"22";"07";"";""
"1994";"Zuidoost-Drenthe (CR)";"1689";"11.2";"824";"865";"44.7";"46.6";"1.50";"1689";"9";"146";"682";"659";"178";"12";"3";"1689";"752";"615";"250";"72";"1689";"1538";"151";"";"01";"22";"08";"";""
