"Perioden";"Regio's";"Totaal levendgeborenen";"Bruto geboortecijfer";"Levendgeboren jongens";"Levendgeboren meisjes";"Algemeen vruchtbaarheidscijfer";"Gestandaardiseerd vruchtbaarheidscijfer";"Gemiddeld kindertal per vrouw";"Totaal levendgeborenen";"Jonger dan 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 jaar of ouder";"Totaal levendgeborenen";"1e kind";"2e kind";"3e kind";"4e of volgende kinderen";"Totaal levendgeborenen";"Moeder gehuwd";"Moeder niet-gehuwd";"Gemeente";"Landsdeel";"Provincie";"COROP-gebied";"Stadsgewest";"Grootstedelijke agglomeratie"
"2000";"Noord-Drenthe (CR)";"2172";"12.1";"1120";"1052";"53.0";"56.6";"1.87";"2172";"10";"136";"609";"960";"396";"60";"1";"2172";"992";"818";"281";"81";"2172";"1639";"533";"";"01";"22";"07";"";""
"2000";"Zuidoost-Drenthe (CR)";"1989";"11.8";"1029";"960";"50.6";"52.7";"1.76";"1989";"22";"152";"646";"866";"265";"36";"2";"1989";"945";"748";"230";"66";"1989";"1496";"493";"";"01";"22";"08";"";""
"2000";"Zuidwest-Drenthe (CR)";"1661";"13.3";"826";"835";"57.0";"60.1";"2.00";"1661";"13";"132";"563";"685";"242";"26";"-";"1661";"714";"623";"252";"72";"1661";"1348";"313";"";"01";"22";"09";"";""
"2000";"Noord-Overijssel (CR)";"5091";"14.6";"2586";"2505";"59.1";"59.9";"1.97";"5091";"58";"433";"1571";"2127";"792";"105";"5";"5091";"2136";"1835";"724";"396";"5091";"4273";"818";"";"02";"23";"10";"";""
"2000";"Zuidwest-Overijssel (CR)";"1865";"13.7";"960";"905";"55.4";"54.6";"1.78";"1865";"27";"146";"490";"818";"341";"42";"1";"1865";"863";"705";"229";"68";"1865";"1376";"489";"";"02";"23";"11";"";""
"2000";"Twente (CR)";"7968";"13.3";"4127";"3841";"56.3";"56.9";"1.86";"7968";"76";"609";"2203";"3624";"1290";"158";"8";"7968";"3644";"2905";"1017";"402";"7968";"6528";"1440";"";"02";"23";"12";"";""
"2000";"Veluwe (CR)";"8411";"13.4";"4243";"4168";"55.1";"57.3";"1.89";"8411";"113";"757";"2552";"3376";"1408";"196";"9";"8411";"3603";"2814";"1213";"781";"8411";"7114";"1297";"";"02";"25";"13";"";""
"2000";"Achterhoek (CR)";"4815";"12.7";"2438";"2377";"55.2";"57.3";"1.85";"4815";"33";"244";"1250";"2306";"883";"97";"2";"4815";"2180";"1842";"616";"177";"4815";"3777";"1038";"";"02";"25";"14";"";""
"2000";"Arnhem/Nijmegen (CR)";"8788";"12.7";"4438";"4350";"49.7";"49.3";"1.61";"8788";"77";"647";"2252";"3804";"1726";"278";"4";"8788";"4280";"3149";"1039";"320";"8788";"6324";"2464";"";"02";"25";"15";"";""
"2000";"Zuidwest-Gelderland (CR)";"3356";"14.9";"1729";"1627";"60.6";"61.2";"2.03";"3356";"21";"263";"1017";"1416";"558";"80";"1";"3356";"1494";"1168";"429";"265";"3356";"2843";"513";"";"02";"25";"16";"";""
"2000";"Utrecht (CR)";"16080";"14.4";"8262";"7818";"55.2";"53.1";"1.74";"16080";"136";"1178";"4045";"6916";"3321";"471";"13";"16080";"7527";"5697";"1983";"873";"16080";"12432";"3648";"";"03";"26";"17";"";""
"2000";"Kop van Noord-Holland (CR)";"4822";"13.6";"2528";"2294";"55.5";"57.8";"1.90";"4822";"47";"352";"1493";"2084";"746";"100";"-";"4822";"2107";"1828";"692";"195";"4822";"3480";"1342";"";"03";"27";"18";"";""
"2000";"Alkmaar en omgeving (CR)";"3025";"13.1";"1557";"1468";"53.4";"54.9";"1.79";"3025";"27";"205";"840";"1312";"553";"87";"1";"3025";"1396";"1106";"407";"116";"3025";"2127";"898";"";"03";"27";"19";"";""
"2000";"IJmond (CR)";"2101";"12.1";"1109";"992";"51.8";"52.1";"1.72";"2101";"15";"154";"556";"950";"374";"51";"1";"2101";"959";"827";"263";"52";"2101";"1543";"558";"";"03";"27";"20";"";""
"2000";"Agglomeratie Haarlem (CR)";"2695";"12.4";"1373";"1322";"52.2";"51.0";"1.65";"2695";"27";"159";"592";"1171";"632";"111";"3";"2695";"1216";"1016";"343";"120";"2695";"1869";"826";"";"03";"27";"21";"";""
"2000";"Zaanstreek (CR)";"1928";"12.7";"989";"939";"51.9";"49.3";"1.64";"1928";"13";"192";"535";"796";"349";"43";"-";"1928";"945";"710";"203";"70";"1928";"1317";"611";"";"03";"27";"22";"";""
"2000";"Groot-Amsterdam (CR)";"16250";"14.0";"8348";"7902";"51.5";"46.3";"1.57";"16250";"261";"1720";"3841";"6203";"3484";"716";"25";"16250";"8231";"5520";"1635";"864";"16250";"9961";"6289";"";"03";"27";"23";"";""
"2000";"Het Gooi en Vechtstreek (CR)";"2797";"12.0";"1435";"1362";"51.5";"54.2";"1.72";"2797";"14";"146";"562";"1255";"709";"106";"5";"2797";"1315";"1010";"366";"106";"2797";"2045";"752";"";"03";"27";"24";"";""
"2000";"Agglomeratie Leiden en Bollenstreek (CR)";"4974";"12.9";"2517";"2457";"50.3";"49.6";"1.62";"4974";"40";"318";"1258";"2213";"1012";"130";"3";"4974";"2190";"1887";"665";"232";"4974";"3890";"1084";"";"03";"28";"25";"";""
"2000";"Agglomeratie 's-Gravenhage (CR)";"8997";"12.5";"4568";"4429";"50.0";"48.9";"1.64";"8997";"185";"1058";"2368";"3322";"1730";"314";"20";"8997";"4336";"3016";"1103";"542";"8997";"6027";"2970";"";"03";"28";"26";"";""
"2000";"Delft en Westland (CR)";"2872";"12.4";"1449";"1423";"50.6";"50.3";"1.63";"2872";"18";"139";"803";"1252";"578";"82";"-";"2872";"1310";"1055";"374";"133";"2872";"2257";"615";"";"03";"28";"27";"";""
"2000";"Oost-Zuid-Holland (CR)";"4539";"14.1";"2266";"2273";"56.4";"57.6";"1.89";"4539";"33";"303";"1349";"1940";"812";"99";"3";"4539";"1980";"1627";"616";"316";"4539";"3679";"860";"";"03";"28";"28";"";""
"2000";"Groot-Rijnmond (CR)";"16837";"12.6";"8606";"8231";"50.1";"49.3";"1.65";"16837";"391";"2190";"4867";"6151";"2770";"442";"26";"16837";"8032";"5641";"2046";"1118";"16837";"11800";"5037";"";"03";"28";"29";"";""
"2000";"Zuidoost-Zuid-Holland (CR)";"5803";"14.1";"3009";"2794";"57.8";"57.7";"1.93";"5803";"82";"591";"1851";"2279";"897";"98";"5";"5803";"2498";"2039";"787";"479";"5803";"4771";"1032";"";"03";"28";"30";"";""
"2000";"Zeeuwsch-Vlaanderen (CR)";"1209";"11.3";"614";"595";"50.8";"52.7";"1.78";"1209";"11";"105";"373";"531";"175";"14";"-";"1209";"542";"455";"146";"66";"1209";"920";"289";"";"03";"29";"31";"";""
"2000";"Overig Zeeland (CR)";"3280";"12.3";"1702";"1578";"53.7";"56.3";"1.90";"3280";"38";"371";"1053";"1305";"428";"81";"4";"3280";"1365";"1125";"469";"321";"3280";"2668";"612";"";"03";"29";"32";"";""
"2000";"West-Noord-Brabant (CR)";"7254";"12.2";"3742";"3512";"50.0";"50.4";"1.65";"7254";"88";"500";"2103";"3247";"1175";"138";"3";"7254";"3407";"2686";"873";"288";"7254";"5644";"1610";"";"04";"30";"33";"";""
"2000";"Midden-Noord-Brabant (CR)";"5805";"13.1";"2940";"2865";"52.4";"52.9";"1.73";"5805";"78";"463";"1621";"2611";"913";"117";"2";"5805";"2781";"2051";"682";"291";"5805";"4443";"1362";"";"04";"30";"34";"";""
"2000";"Noordoost-Noord-Brabant (CR)";"8278";"13.4";"4286";"3992";"54.4";"55.0";"1.78";"8278";"53";"466";"2232";"3950";"1426";"147";"4";"8278";"3796";"3074";"1111";"297";"8278";"6612";"1666";"";"04";"30";"35";"";""
"2000";"Zuidoost-Noord-Brabant (CR)";"9139";"12.8";"4635";"4504";"53.0";"53.4";"1.75";"9139";"81";"615";"2493";"4227";"1558";"157";"8";"9139";"4372";"3354";"1075";"338";"9139";"7236";"1903";"";"04";"30";"36";"";""
"2000";"Noord-Limburg (CR)";"3303";"12.1";"1673";"1630";"50.6";"53.3";"1.75";"3303";"20";"214";"898";"1541";"580";"49";"1";"3303";"1533";"1229";"425";"116";"3303";"2690";"613";"";"04";"31";"37";"";""
